,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,5,2,COBYLA,1000,4.015880584716797,"['01010', '10101']","['01010', '10101']",1.0,"[1.0, 1.0]","[0, 0]"
1,5,2,COBYLA,1000,3.3003673553466797,"['01010', '10101']","['01010', '10101']",1.0,"[1.0, 1.0]","[0, 0]"
2,5,2,COBYLA,1000,2.733431339263916,"['01010', '10101']","['01010', '10101']",1.0,"[1.0, 1.0]","[0, 0]"
3,5,2,COBYLA,513,1.4865810871124268,"['01010', '10101']","['01010', '10101']",1.0,"[1.0, 1.0]","[0, 0]"
4,5,2,COBYLA,370,1.0686585903167725,"['01010', '10101']","['01010', '10101']",1.0,"[1.0, 1.0]","[0, 0]"
5,5,2,COBYLA,876,3.6566784381866455,"['01010', '10101']","['01010', '10101']",1.0,"[1.0, 1.0]","[0, 0]"
6,5,2,COBYLA,277,0.7934513092041016,"['01010', '10101']","['01010', '10101']",1.0,"[1.0, 1.0]","[0, 0]"
7,5,2,COBYLA,1000,2.6918864250183105,"['01010', '10101']","['01010', '10101']",1.0,"[1.0, 1.0]","[0, 0]"
8,5,2,COBYLA,1000,4.577347278594971,"['01010', '10101']","['01010', '10101']",1.0,"[1.0, 1.0]","[0, 0]"
9,5,2,COBYLA,1000,4.188223123550415,"['01010', '10101']","['01010', '10101']",1.0,"[1.0, 1.0]","[0, 0]"
