,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,7,2,COBYLA,1000,3.129023551940918,"['0101010', '1010101']","['0101010', '1010101']",1.0,"[1.0, 1.0]","[0, 0]"
1,7,2,COBYLA,1000,3.3422465324401855,"['0101010', '1010101']","['0101010', '1010101']",1.0,"[1.0, 1.0]","[0, 0]"
2,7,2,COBYLA,291,0.9264931678771973,"['0101010', '1010101']","['0101010', '1010101']",1.0,"[1.0, 1.0]","[0, 0]"
3,7,2,COBYLA,1000,3.091022491455078,"['0101010', '1010101']","['0101010', '1010101']",1.0,"[1.0, 1.0]","[0, 0]"
4,7,2,COBYLA,1000,3.0408780574798584,"['0101010', '1010101']","['0101010', '1010101']",1.0,"[1.0, 1.0]","[0, 0]"
5,7,2,COBYLA,1000,3.0834219455718994,"['0010100', '1101011']","['0101010', '1010101']",0.667,"[0.667, 0.667]","[2, 2]"
6,7,2,COBYLA,1000,3.209197521209717,"['0101010', '1010101']","['0101010', '1010101']",1.0,"[1.0, 1.0]","[0, 0]"
7,7,2,COBYLA,1000,3.1270740032196045,"['0101010', '1010101']","['0101010', '1010101']",1.0,"[1.0, 1.0]","[0, 0]"
8,7,2,COBYLA,1000,3.490617275238037,"['0101010', '1010101']","['0101010', '1010101']",1.0,"[1.0, 1.0]","[0, 0]"
9,7,2,COBYLA,565,1.9414591789245605,"['0101010', '1010101']","['0101010', '1010101']",1.0,"[1.0, 1.0]","[0, 0]"
