,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,13,1,COBYLA,109,0.8926234245300293,"['0101010101010', '1010101010101']","['0101010101010', '1010101010101']",1.0,"[1.0, 1.0]","[0, 0]"
1,13,1,COBYLA,96,0.7629895210266113,"['0101010101010', '1010101010101']","['0101010101010', '1010101010101']",1.0,"[1.0, 1.0]","[0, 0]"
2,13,1,COBYLA,78,0.6271746158599854,"['0010101010100', '1101010101011']","['0101010101010', '1010101010101']",0.833,"[0.833, 0.833]","[2, 2]"
3,13,1,COBYLA,84,0.6741757392883301,"['0010101010100', '1101010101011']","['0101010101010', '1010101010101']",0.833,"[0.833, 0.833]","[2, 2]"
4,13,1,COBYLA,97,0.7781929969787598,"['0010101010100', '1101010101011']","['0101010101010', '1010101010101']",0.833,"[0.833, 0.833]","[2, 2]"
5,13,1,COBYLA,90,0.721930742263794,"['0101010101010', '1010101010101']","['0101010101010', '1010101010101']",1.0,"[1.0, 1.0]","[0, 0]"
6,13,1,COBYLA,89,0.7148122787475586,"['0010101010100', '1101010101011']","['0101010101010', '1010101010101']",0.833,"[0.833, 0.833]","[2, 2]"
7,13,1,COBYLA,79,0.6369130611419678,"['0010101010100', '1101010101011']","['0101010101010', '1010101010101']",0.833,"[0.833, 0.833]","[2, 2]"
8,13,1,COBYLA,101,0.8092918395996094,"['0101010101010', '1010101010101']","['0101010101010', '1010101010101']",1.0,"[1.0, 1.0]","[0, 0]"
9,13,1,COBYLA,76,0.615642786026001,"['0010101010100', '1101010101011']","['0101010101010', '1010101010101']",0.833,"[0.833, 0.833]","[2, 2]"
