,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,15,1,COBYLA,90,2.2766082286834717,"['010101010101010', '101010101010101']","['010101010101010', '101010101010101']",1.0,"[1.0, 1.0]","[0, 0]"
1,15,1,COBYLA,93,2.365565299987793,"['010101010101010', '101010101010101']","['010101010101010', '101010101010101']",1.0,"[1.0, 1.0]","[0, 0]"
2,15,1,COBYLA,82,2.077570676803589,"['010101010101010', '101010101010101']","['010101010101010', '101010101010101']",1.0,"[1.0, 1.0]","[0, 0]"
3,15,1,COBYLA,72,1.8341400623321533,"['001010101010100', '110101010101011']","['010101010101010', '101010101010101']",0.857,"[0.857, 0.857]","[2, 2]"
4,15,1,COBYLA,47,1.1978611946105957,"['010101010101010', '101010101010101']","['010101010101010', '101010101010101']",1.0,"[1.0, 1.0]","[0, 0]"
5,15,1,COBYLA,75,1.9158744812011719,"['001010101010100', '110101010101011']","['010101010101010', '101010101010101']",0.857,"[0.857, 0.857]","[2, 2]"
6,15,1,COBYLA,103,3.1945629119873047,"['001010101010100', '110101010101011']","['010101010101010', '101010101010101']",0.857,"[0.857, 0.857]","[2, 2]"
7,15,1,COBYLA,65,3.326343059539795,"['010101010101010', '101010101010101']","['010101010101010', '101010101010101']",1.0,"[1.0, 1.0]","[0, 0]"
8,15,1,COBYLA,86,2.21388578414917,"['010101010101010', '101010101010101']","['010101010101010', '101010101010101']",1.0,"[1.0, 1.0]","[0, 0]"
9,15,1,COBYLA,55,1.4153270721435547,"['001010101010100', '110101010101011']","['010101010101010', '101010101010101']",0.857,"[0.857, 0.857]","[2, 2]"
