,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,6,2,COBYLA,634,2.551847219467163,"['101010', '010101']","['010101', '101010']",1.0,"[1.0, 1.0]","[0, 0]"
1,6,2,COBYLA,415,1.42702054977417,"['101010', '010101']","['010101', '101010']",1.0,"[1.0, 1.0]","[0, 0]"
2,6,2,COBYLA,700,2.0878255367279053,"['101010', '010101']","['010101', '101010']",1.0,"[1.0, 1.0]","[0, 0]"
3,6,2,COBYLA,1000,2.831594228744507,"['101010', '010101']","['010101', '101010']",1.0,"[1.0, 1.0]","[0, 0]"
4,6,2,COBYLA,415,1.2137720584869385,"['101010', '010101']","['010101', '101010']",1.0,"[1.0, 1.0]","[0, 0]"
5,6,2,COBYLA,371,1.0596156120300293,"['101010', '010101']","['010101', '101010']",1.0,"[1.0, 1.0]","[0, 0]"
6,6,2,COBYLA,803,2.381089925765991,"['101010', '010101']","['010101', '101010']",1.0,"[1.0, 1.0]","[0, 0]"
7,6,2,COBYLA,1000,3.024731397628784,"['101010', '010101']","['010101', '101010']",1.0,"[1.0, 1.0]","[0, 0]"
8,6,2,COBYLA,1000,4.158308744430542,"['101010', '010101']","['010101', '101010']",1.0,"[1.0, 1.0]","[0, 0]"
9,6,2,COBYLA,863,3.530315399169922,"['101010', '010101']","['010101', '101010']",1.0,"[1.0, 1.0]","[0, 0]"
