,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,8,2,COBYLA,1000,3.3853068351745605,"['10101010', '01010101']","['01010101', '10101010']",1.0,"[1.0, 1.0]","[0, 0]"
1,8,2,COBYLA,1000,3.55148983001709,"['11010100', '00101011']","['01010101', '10101010']",0.714,"[0.714, 0.714]","[2, 2]"
2,8,2,COBYLA,1000,3.451904535293579,"['11010100', '00101011']","['01010101', '10101010']",0.714,"[0.714, 0.714]","[2, 2]"
3,8,2,COBYLA,933,3.117199659347534,"['10101010', '01010101']","['01010101', '10101010']",1.0,"[1.0, 1.0]","[0, 0]"
4,8,2,COBYLA,630,2.4314937591552734,"['11010100', '00101011']","['01010101', '10101010']",0.714,"[0.714, 0.714]","[2, 2]"
5,8,2,COBYLA,835,2.8314051628112793,"['10101010', '01010101']","['01010101', '10101010']",1.0,"[1.0, 1.0]","[0, 0]"
6,8,2,COBYLA,857,2.884557008743286,"['11010100', '00101011']","['01010101', '10101010']",0.714,"[0.714, 0.714]","[2, 2]"
7,8,2,COBYLA,428,1.4380667209625244,"['10101010', '01010101']","['01010101', '10101010']",1.0,"[1.0, 1.0]","[0, 0]"
8,8,2,COBYLA,332,1.1304407119750977,"['10101010', '01010101']","['01010101', '10101010']",1.0,"[1.0, 1.0]","[0, 0]"
9,8,2,COBYLA,839,2.8130621910095215,"['11010100', '00101011']","['01010101', '10101010']",0.714,"[0.714, 0.714]","[2, 2]"
