,n_qubs,p,opt_name,opt_iterations,opt_time,final_sols,opt_sol,approx_ratio,approx_ratios,bit_diffs
0,12,1,COBYLA,75,0.4090092182159424,"['110101010100', '001010101011']","['010101010101', '101010101010']",0.818,"[0.818, 0.818]","[2, 2]"
1,12,1,COBYLA,104,0.5667068958282471,"['101010101010', '010101010101']","['010101010101', '101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
2,12,1,COBYLA,94,0.5152173042297363,"['110101010100', '001010101011']","['010101010101', '101010101010']",0.818,"[0.818, 0.818]","[2, 2]"
3,12,1,COBYLA,98,0.5326833724975586,"['101010101010', '010101010101']","['010101010101', '101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
4,12,1,COBYLA,95,0.5223226547241211,"['101010101010', '010101010101']","['010101010101', '101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
5,12,1,COBYLA,77,0.4179675579071045,"['101010101010', '010101010101']","['010101010101', '101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
6,12,1,COBYLA,118,0.6507554054260254,"['101010101010', '010101010101']","['010101010101', '101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
7,12,1,COBYLA,109,0.5819482803344727,"['101010101010', '010101010101']","['010101010101', '101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
8,12,1,COBYLA,77,0.4145476818084717,"['101010101010', '010101010101']","['010101010101', '101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
9,12,1,COBYLA,87,0.4664173126220703,"['101010101010', '010101010101']","['010101010101', '101010101010']",1.0,"[1.0, 1.0]","[0, 0]"
