,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,4,2,COBYLA,940.4,128.39106926366284,1.8583,0.2648404341401734,0.9667,0.105303846083607,9
0,0,6,2,COBYLA,963.8,90.45293435446598,2.2614,0.2767129278592607,0.94,0.0966091783079295,7
0,0,8,2,COBYLA,928.6,206.53716372604717,2.2467,0.5102986162804851,0.9428,0.1205881881077542,8
0,0,10,2,COBYLA,896.3,193.12060135228108,2.7616,0.6128123149328294,0.9778,0.046801709370492,8
0,0,12,2,COBYLA,780.9,304.71168522245927,3.415,1.304090061647925,1.0,0.0,10
0,0,14,2,COBYLA,875.4,270.9588734681172,6.7127,2.0743154185310284,0.9692,0.0649321012887907,8
0,0,16,2,COBYLA,918.9,196.7437419589249,28.664800000000003,6.221210203810832,0.9734000000000002,0.0560777238403192,8
0,0,18,2,COBYLA,986.7,42.05829288023945,128.9276,6.718424521005235,0.9646,0.0569994152016784,7
0,0,20,2,COBYLA,990.3,30.67409330363328,626.7806,18.88713298753648,0.9475,0.0553398590529466,5
