,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,4,4,COBYLA,1000.0,0.0,2.5957,0.2157442158359446,1.0,0.0,10
0,0,6,4,COBYLA,1000.0,0.0,3.3295000000000003,0.2564329022051058,1.0,0.0,10
0,0,8,4,COBYLA,1000.0,0.0,3.8564,0.1044734947779154,1.0,0.0,10
0,0,10,4,COBYLA,1000.0,0.0,4.9107,0.4616713718171785,1.0,0.0,10
0,0,12,4,COBYLA,1000.0,0.0,6.3117,0.1070005711303552,0.9909,0.0287767267075322,9
0,0,14,4,COBYLA,1000.0,0.0,11.0289,0.5779483733191246,1.0,0.0,10
0,0,16,4,COBYLA,1000.0,0.0,36.2575,0.6067883119800135,1.0,0.0,10
0,0,18,4,COBYLA,1000.0,0.0,133.29,4.300485398959824,0.9941,0.0186574381949934,9
0,0,20,4,COBYLA,1000.0,0.0,635.063,12.972063178658642,0.9,0.3162277660168379,9
