,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,4,2,COBYLA,1000.0,0.0,1.846,0.0130724477007516,0.9001000000000001,0.1608542818827027,7
0,0,6,2,COBYLA,902.0,206.60214046433413,2.3286,0.5186617823249023,0.92,0.1032795558988644,6
0,0,8,2,COBYLA,890.7,232.87671988987364,2.6787,0.7161080070616288,0.9428,0.0738448824676881,6
0,0,10,2,COBYLA,919.2,123.3376575818504,3.4334,0.4633168342386114,0.9112,0.0875579807898743,4
0,0,12,2,COBYLA,870.4,187.1085246588193,5.727199999999999,1.1784807357120626,0.9636,0.0636277367889892,7
0,0,14,2,COBYLA,930.2,220.72698067975287,9.283,2.2039868420659867,0.9538,0.0397626290210627,4
0,0,16,2,COBYLA,998.8,3.794733192202055,32.7066,0.8181999483962064,0.9799,0.0323640747331563,7
0,0,18,2,COBYLA,907.4,154.6416646458659,120.8761,21.147261837200368,0.9634,0.0317111967607657,4
0,0,20,2,COBYLA,940.7,187.52306524798487,599.6132,121.03984101094797,0.9648,0.0460333212647824,5
