,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,4,3,COBYLA,986.0,44.27188724235731,2.0021,0.0678158454115915,1.0,0.0,10
0,0,6,3,COBYLA,822.9,262.4895553477636,2.3975,0.8335802634153208,1.0,0.0,10
0,0,8,3,COBYLA,955.6,94.40244817917711,3.0421000000000005,0.3259323208547716,1.0,0.0,10
0,0,10,3,COBYLA,834.4,288.6421082702014,3.3847,1.1737838197707258,1.0,0.0,10
0,0,12,3,COBYLA,891.3,208.1143115373536,5.456,1.3226107179027058,1.0,0.0,10
0,0,14,3,COBYLA,871.9,208.49324529426204,10.258499999999998,2.6305893826289197,1.0,0.0,10
0,0,16,3,COBYLA,942.2,168.86602184374846,34.219,6.979924084273569,1.0,0.0,10
0,0,18,3,COBYLA,877.8,222.16400348491305,138.32189999999997,35.06309849225789,1.0,0.0,10
0,0,20,3,COBYLA,964.3,112.89331246801116,658.5130999999999,90.88190749226898,1.0,0.0,10
