,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,4,4,COBYLA,1000.0,0.0,2.6797,0.0358795825567194,0.8667999999999999,0.1719604605716093,6
0,0,6,4,COBYLA,1000.0,0.0,3.7069,0.175793091761625,0.94,0.0966091783079295,7
0,0,8,4,COBYLA,1000.0,0.0,4.8065,0.2471945927132441,0.9571,0.096517643752609,8
0,0,10,4,COBYLA,1000.0,0.0,6.3289,0.2407568852136482,0.9667,0.0536180939609009,7
0,0,12,4,COBYLA,1000.0,0.0,10.4175,0.4857560544598951,0.9454,0.0767379378867526,6
0,0,14,4,COBYLA,1000.0,0.0,15.0971,0.2935311643496214,0.9692,0.0397626290210627,6
0,0,16,4,COBYLA,1000.0,0.0,40.3357,2.24791483873883,0.9522,0.067506049111666,6
0,0,18,4,COBYLA,1000.0,0.0,153.8077,9.080752086449426,0.9499,0.0441121046627541,3
0,0,20,4,COBYLA,1000.0,0.0,710.8333,12.404476396760064,0.9630999999999998,0.0376429128640291,4
