,Unnamed: 0,n_qubs,p,opt_name,opt_iterations_mean,opt_iterations_std,opt_time_mean,opt_time_std,approx_ratio_mean,approx_ratio_std,optimal_sol_count
0,0,4,1,POWELL,117.9,41.53566071595721,0.1691,0.0612362456211823,0.8002,0.1719604605716092,4
0,0,6,1,POWELL,154.4,103.1635163762418,0.2443999999999999,0.1630141098187515,0.8200000000000001,0.2573367875415837,6
0,0,8,1,POWELL,166.4,81.30491306734723,0.3012,0.1467308950274466,0.8713000000000001,0.1422033364196807,5
0,0,10,1,POWELL,165.7,116.33767900192764,0.3879,0.3022645824071648,0.7222000000000001,0.3601440452559689,5
0,0,12,1,POWELL,118.4,105.82711267807404,0.3939,0.3440030523120398,0.9363,0.1489116441980874,8
0,0,14,1,POWELL,208.5,281.9264088374837,1.3242,1.7659383907713202,0.8939,0.2422810351637123,8
0,0,16,1,POWELL,83.7,51.497680638171566,2.5024,1.5793583929347177,0.8936,0.0560777238403192,2
0,0,18,1,POWELL,97.6,52.02392611951628,13.1879,6.996626130579732,0.8736,0.0774757309671156,1
0,0,20,1,POWELL,80.4,28.891367415044776,52.089200000000005,18.62604924292857,0.9055,0.0332039154317679,1
0,0,22,1,POWELL,80.7,24.94460529520027,231.9754,67.35822831234337,0.8496,0.1842553783324776,0
